query,entail,conflict,query_atoms,entail_atoms,conflict_atoms,negs_sourse_atoms
The Chief Executive Officer granted the Optionee the rights to receive the award without any involvement or determination by the Committee.,"The CEO gave the person the stock option award all by themselves, without the Committee deciding anything.",The Committee has determined that the Optionee is eligible to receive an award under the Plan.,"['The Chief Executive Officer granted the rights without Committee involvement.', 'The Committee made no determination regarding the award.']","['CEO granted award alone.', 'Committee not involved.']","[""The Committee determined the Optionee's eligibility."", 'The grant was pursuant to action taken by the Committee.']","[['The grant was not made without Committee involvement.', 'The Committee determined eligibility.', 'CEO did not act alone.'], ['The Committee made a determination regarding the award.', 'It was not a unilateral CEO action.', 'Committee role is confirmed.']]"
"The Distributor is hereby granted the sole and exclusive right to market, sell, and distribute the Products throughout the entire Territory, to the exclusion of all others including the Company.",Only this Distributor is allowed to sell the products in the area; not even the Company itself can sell there.,"The rights granted to the Distributor hereunder are non-exclusive, and the Company reserves the right to appoint other distributors and to sell the Products directly in the Territory.","['The Distributor is granted the sole and exclusive right to distribute.', 'The right excludes all others including the Company.']","['Distributor is the only seller.', 'Even the Company is excluded.']","['The rights granted are non-exclusive.', 'Company reserves the right to sell directly.']","[['The Distributor is not granted exclusive rights.', 'Exclusivity is denied.', 'Rights are non-exclusive.'], ['The right does not exclude others.', 'Company is not excluded.', 'Others may sell in the Territory.']]"
Holders of Series A Preferred Stock shall have preemptive rights to purchase their pro rata share of any new securities issued by the Company.,Owners of Series A stock get first dibs to buy their share of any new stock the company sells.,Holders of Series A Preferred Stock shall have no preemptive rights with respect to any future issuances of securities.,['Holders of Series A Preferred Stock shall have preemptive rights to purchase new securities.'],['Series A gets first dibs.'],['Holders of Series A Preferred Stock shall have no preemptive rights.'],"[['Series A holders do not have preemptive rights.', 'There is no right to purchase pro rata shares of new issues.', 'Preemptive rights are excluded.']]"
"McCarthy, J.
Appeals (1) from an order of the Family Court of Essex County (Meyer, J.), entered August 23, 2011, which, in a proceeding pursuant to Family Ct Act article 8, granted respondent’s motion to dismiss the petition, and (2) from a corrected order of said court, entered September 6, 2011, which, among other things, partially granted respondent’s application, in two proceedings pursuant to Family Ct Act article 6, for custody of the parties’ children.","The Employee releases and forever discharges the Company, its affiliates, and their respective officers, directors, and employees from any and all claims, demands, and causes of action arising out of his employment or termination. This release includes, but is not limited to, claims for wrongful discharge, breach of contract, and discrimination under federal, state, or local laws.","The Employee retains and forever asserts against the Company, its affiliates, and their officers, any and all claims, demands, and causes of action. This release excludes all claims for wrongful discharge, breach of contract, and discrimination, specifically preserving them under all federal, state, and local laws.","['Employee releases and discharges Company and affiliates from claims.', 'Release covers officers, directors, and employees.', 'Claims arise out of employment or termination.', 'Release includes wrongful discharge.', 'Release includes breach of contract.', 'Release includes discrimination under laws.']","['Employee releases Company/affiliates.', 'Covers officers/directors/employees.', 'Claims from employment/termination.', 'Includes wrongful discharge.', 'Includes breach of contract.', 'Includes discrimination.']","['Employee retains claims.', 'Asserts against officers.', 'Claims unrelated to employment.', 'Excludes wrongful discharge.', 'Excludes breach of contract.', 'Excludes discrimination.']","[['Employee does NOT release the Company.', 'Employee sues the Company.', 'Employee reserves rights.'], ['Release does NOT cover officers.', 'Officers are excluded.', 'Only Company is released.'], ['Claims do NOT arise from employment.', 'Claims arise from a car accident.', 'Claims are personal.'], ['Release does NOT include wrongful discharge.', 'Wrongful discharge is reserved.', 'Release is partial.'], ['Release does NOT include breach of contract.', 'Contract claims remain.', 'Release is for torts only.'], ['Release does NOT include discrimination.', 'Discrimination claims stand.', 'Federal claims are exempt.']]"
"When the driver handles the situation at the platform area, they must enter the guest room via the platform, and ensure the end door is closed when entering or exiting a small platform.",Drivers dealing with platform incidents must access the cabin from the platform side and verify the end door is shut if using a narrow catwalk.,The driver must climb through the window to reach the guest room and leave the end door wide open for ventilation.,"[""The driver must enter the guest room via the platform when handling the situation at the platform area."", ""The driver must ensure the end door is closed when entering or exiting a small platform.""]","[""Drivers must access the cabin from the platform side."", ""Drivers must verify the end door is shut if using a narrow catwalk.""]","[""The driver must climb through the window."", ""The driver must leave the end door wide open.""]","[[""The driver must enter via the driver's interior door."", ""The driver must wait for the train to leave the platform."", ""The driver must crawl under the train.""], [""The driver must ensure the end door is open."", ""The driver ignores the state of the end door."", ""The driver locks the end door permanently.""]]"
"Either party may terminate this Agreement at any time for any reason or no reason at all, effective immediately upon sending a simple email notice.",This contract can be ended by either side instantly and without cause just by sending an email notification.,"This Agreement may be terminated by either party only for Cause, upon providing thirty (30) days' prior written notice to the other party.","['Either party may terminate this Agreement at any time for any reason or no reason at all, effective immediately upon sending a simple email notice.']",['This contract can be ended by either side instantly and without cause just by sending an email notification.'],"[""This Agreement may be terminated by either party only for Cause, upon providing thirty (30) days' prior written notice to the other party.""]","[['The Agreement cannot be terminated for no reason.', 'Termination requires Cause.', 'Immediate termination via email is not permitted; written notice is required.']]"
"We find that the Supreme Court did not abuse its discretion in granting the plaintiff leave to amend her complaint to include a cause of action for wrongful death. Contrary to the defendant’s contention, the affidavit submitted by a physician who had treated the decedent sufficiently set forth a causal connection between the decedent’s fall, which resulted from the alleged acts of negligence on the defendant’s part, and his subsequent death (cf., Liebman v Newhouse, 122 AD2d 252; Mahoney v Sharma, 110 AD2d 627; Fiorentino v Cobble Hill Nursing Home, 101 AD2d 825).",Section 8.06 addresses 'Waiver of Jury Trial'. Each party hereby irrevocably waives any right to a trial by jury in any legal proceeding arising out of or relating to this Agreement or the transactions contemplated hereby.,Section 8.06 addresses 'Requirement of Jury Trial'. Each party hereby irrevocably demands a trial by jury in any legal proceeding arising out of or relating to this Agreement or the transactions contemplated hereby.,"[""Section 8.06 is titled 'Waiver of Jury Trial'."", 'Each party hereby irrevocably waives any right to a trial by jury.', 'The waiver applies to any legal proceeding arising out of this Agreement.', 'The waiver applies to any legal proceeding relating to the transactions contemplated hereby.']","['Section 8.06 covers Waiver of Jury Trial.', 'Parties waive right to jury trial irrevocably.', 'Waiver applies to proceedings from the Agreement.', 'Waiver applies to transaction-related proceedings.']","['Section 8.06 covers Requirement of Jury Trial.', 'Parties demand right to jury trial irrevocably.', 'Demand applies to proceedings from the Agreement.', 'Demand applies to transaction-related proceedings.']","[[""Section 8.06 is NOT titled 'Waiver of Jury Trial'."", ""It is titled 'Jury Trial Guarantee'."", ""It is titled 'Court Procedures'.""], ['Each party does NOT waive the right to a trial by jury.', 'Parties retain the right to a jury.', 'Parties demand a jury.'], ['The waiver does NOT apply to proceedings arising from this Agreement.', 'It applies only to criminal cases.', 'It applies to unrelated cases.'], ['The waiver does NOT apply to transaction-related proceedings.', 'Transactions are exempt from waiver.', 'Proceedings are exempt.']]"
"AND TO COOPERATE WITH THE COMPANY TO CONSUMMATE THE CHANGE IN CONTROL (INCLUDING, IF SO REQUESTED BY THE COMPANY, PROVIDING ASSISTANCE TO THE PROSPECTIVE BUYER IN OBTAINING FINANCING FOR THE CHANGE IN CONTROL) OR GOING PRIVATE TRANSACTION; (B) PROMPTLY, UPON REQUEST OF THE COMPANY, EXECUTES AND DELIVERS A RELEASE OF CERTAIN CLAIMS AGAINST THE COMPANY AND ANY OF ITS AFFILIATES (AS DEFINED IN SECTION 2.1) IN A FORM APPROVED BY THE COMPANY; AND (C) EITHER: (I) THE EXECUTIVE HAS REMAINED CONTINUOUSLY EMPLOYED BY THE COMPANY THROUGH THE EARLIER OF:","The Executive must cooperate with the Company to consummate the Change in Control, including assisting prospective buyers with financing if requested. The Executive must promptly execute a Company-approved release of claims against the Company and affiliates upon request. The Executive must remain continuously employed through the earlier of specified dates.",The Executive must not cooperate with the Company regarding Change in Control. The Executive must refuse to execute any release of claims. The Executive must resign immediately upon announcement of Change in Control. No continuous employment requirement exists.,"['Executive must cooperate to consummate Change in Control', 'Cooperation includes assisting prospective buyer with financing if requested', 'Executive must promptly execute Company-approved release of claims', 'Release covers claims against Company and affiliates', 'Executive must remain continuously employed through specified date']","['Executive must cooperate to consummate Change in Control', 'Cooperation includes assisting with financing if requested', 'Executive must promptly execute Company-approved release of claims', 'Release covers claims against Company and affiliates', 'Executive must remain continuously employed through specified date']","['Executive must not cooperate with Company regarding Change in Control', 'Executive must refuse to execute any release of claims', 'Executive must resign immediately upon Change in Control announcement', 'No continuous employment requirement exists']","[['Executive must actively oppose consummation of Change in Control', 'Executive has no cooperation obligations', 'Executive must not cooperate to consummate Change in Control'], ['Cooperation includes only attending one meeting', 'Cooperation is limited to providing public statements only', 'Cooperation does not include assisting prospective buyer with financing'], ['Executive may execute release at his discretion', 'Executive must refuse to execute any release', 'Executive must not promptly execute Company-approved release of claims'], ['Release covers claims against third parties only', 'Release covers no claims whatsoever', 'Release does not cover claims against Company and affiliates'], ['Executive must resign before the specified date', 'Executive employment may be intermittent', 'Executive must not remain continuously employed through specified date']]"
"The Service Provider shall indemnify, defend, and hold harmless the Client against any and all losses, damages, liabilities, and expenses, without any limitation or cap on the monetary amount of such liability.","The Provider has to pay for all the Client's losses and damages, and there is no limit on how much money they might have to pay.","Notwithstanding any other provision, the Service Provider's total aggregate liability for indemnification under this Agreement shall be strictly limited to two times (2x) the total fees paid by Client during the preceding twelve months.","['The Service Provider shall indemnify, defend, and hold harmless the Client against any and all losses, damages, liabilities, and expenses, without any limitation or cap on the monetary amount of such liability.']","[""The Provider has to pay for all the Client's losses and damages, and there is no limit on how much money they might have to pay.""]","[""Notwithstanding any other provision, the Service Provider's total aggregate liability for indemnification under this Agreement shall be strictly limited to two times (2x) the total fees paid by Client during the preceding twelve months.""]","[['Indemnification liability is not unlimited.', 'Liability is capped at two times the fees.', ""The Provider's liability is subject to a monetary cap.""]]"
The Service Provider is not required to implement any specific data security measures or adhere to industry standards.,The Provider doesn't have to follow any special rules or standards to keep data safe.,"Service Provider shall maintain a comprehensive information security program that complies with applicable laws and industry best practices (e.g., ISO 27001).",['The Service Provider is not required to implement any specific data security measures or adhere to industry standards.'],"[""The Provider doesn't have to follow any special rules or standards to keep data safe.""]","['Service Provider shall maintain a comprehensive information security program that complies with applicable laws and industry best practices (e.g., ISO 27001).']","[['Service Provider must implement security measures.', 'Adherence to industry standards is required.', 'Data security program is mandatory.']]"
The obligations of confidentiality contained in this Section shall survive the termination of this Agreement and shall continue in full force and effect in perpetuity.,"The duty to keep secrets never ends, even after the contract is essentially over.",The obligations of confidentiality set forth herein shall terminate and be of no further force or effect one (1) year after the date of disclosure.,"['The obligations of confidentiality shall survive termination.', 'The obligations shall continue in perpetuity.']","['Secrecy survives the deal.', 'It lasts forever.']","['The obligations shall terminate one year after disclosure.', 'Confidentiality does not continue in perpetuity.']","[['Confidentiality obligations do not survive termination.', 'Duty ends with the contract.', 'No survival of terms.'], ['The obligations do not continue in perpetuity.', 'Duration is limited.', 'Confidentiality expires.']]"
The expenses incurred for the luxury vacation are deductible as ordinary and necessary business expenses.,You can write off the fancy trip costs because they were for business.,The vacation expenses are personal in nature and are strictly non-deductible under the Internal Revenue Code.,"['Expenses are not deductible.', 'They are personal expenses.', 'Not a necessary business expense.']",['The expenses incurred for the luxury vacation are deductible as ordinary and necessary business expenses.'],['You can write off the fancy trip costs because they were for business.'],[['The vacation expenses are personal in nature and are strictly non-deductible under the Internal Revenue Code.']]
"Nebraska Supreme Court Online Library [external-link-removed] 05/19/2020 08:08 AM CDT - 380 - Nebraska Court of Appeals Advance Sheets 28 Nebraska Appellate Reports FICHTL v. FICHTL Cite as 28 Neb. Ct. App. 380 Jared L. Fichtl, appellee, v. Joey W. Fichtl, appellant. ___ N.W.2d ___ Filed May 19, 2020. No. A-19-203. 1. Child Custody: Appeal and Error. Child custody determinations are matters initially entrusted to the discretion of the trial court, and although reviewed de novo on the record, the trial court's determination will normally be affirmed absent an abuse of discretion.","This is Nebraska Court of Appeals case Fichtl v. Fichtl, 28 Neb. Ct. App. 380, filed May 19, 2020, Case No. A-19-203. Jared L. Fichtl is appellee and Joey W. Fichtl is appellant. Rule 1 states child custody determinations are initially entrusted to trial court discretion, reviewed de novo on record, and normally affirmed absent abuse of discretion.","This is Iowa Supreme Court case Smith v. Smith, 29 Iowa 400, filed June 19, 2020, Case No. B-20-304. John Smith is appellant and Jane Smith is appellee. Rule 1 states child custody determinations are not entrusted to trial court discretion, reviewed only for clear error, and normally reversed absent compelling justification.","['Case is from Nebraska Court of Appeals', 'Case citation is 28 Neb. Ct. App. 380', 'Case name is Fichtl v. Fichtl', 'Filed May 19, 2020', 'Case number is A-19-203', 'Jared L. Fichtl is appellee', 'Joey W. Fichtl is appellant', 'Child custody determinations entrusted to trial court discretion', 'Review is de novo on record', 'Trial court determination normally affirmed absent abuse of discretion']","['Case is Nebraska Court of Appeals Fichtl v. Fichtl', 'Citation is 28 Neb. Ct. App. 380', 'Filed May 19, 2020', 'Case No. A-19-203', 'Jared L. Fichtl is appellee', 'Joey W. Fichtl is appellant', 'Child custody determinations initially entrusted to trial court discretion', 'Review is de novo on record', 'Trial court determination normally affirmed absent abuse of discretion']","['Case is from Iowa Supreme Court', 'Case citation is 29 Iowa 400', 'Case name is Smith v. Smith', 'Filed June 19, 2020', 'Case number is B-20-304', 'John Smith is appellant', 'Jane Smith is appellee', 'Child custody determinations not entrusted to trial court discretion', 'Review only for clear error', 'Trial court determination normally reversed']","[['Case is from Iowa Supreme Court', 'Case is from federal district court', 'Case is not from Nebraska Court of Appeals'], ['Case citation is 29 Neb. Ct. App. 381', 'Case citation is 27 Neb. Ct. App. 379', 'Case citation is not 28 Neb. Ct. App. 380'], ['Case name is Smith v. Smith', 'Case name is Johnson v. Johnson', 'Case name is not Fichtl v. Fichtl'], ['Filed May 20, 2020', 'Filed May 18, 2020', 'Filed not May 19, 2020'], ['Case number is A-19-204', 'Case number is A-19-202', 'Case number is not A-19-203'], ['Jared L. Fichtl is appellant', 'Jared L. Fichtl is third party', 'Jared L. Fichtl is not appellee'], ['Joey W. Fichtl is appellee', 'Joey W. Fichtl is third party', 'Joey W. Fichtl is not appellant'], ['Child custody determinations not entrusted to trial court discretion', 'Child custody determinations entrusted to appellate court', 'Child custody determinations are not entrusted to trial court discretion'], ['Review is only for clear error', 'Review is deferential abuse of discretion standard', 'Review is not de novo on record'], ['Trial court determination normally reversed absent compelling justification', 'Trial court determination always reversed on appeal', 'Trial court determination is not normally affirmed absent abuse of discretion']]"
This Power of Attorney is durable and shall remain in full force and effect notwithstanding the subsequent incapacity or disability of the Principal.,This legal power stays good even if the person who gave it gets sick and can't think straight.,This Power of Attorney shall automatically terminate upon the incapacity or disability of the Principal.,"['This Power of Attorney is durable.', 'It remains in effect notwithstanding incapacity.']","[""It's durable."", 'Survives sickness.']","['This Power of Attorney terminates upon incapacity.', 'It is not durable.']","[['This Power of Attorney is not durable.', 'It terminates upon incapacity.', 'Does not survive disability.']]"
"During the initial disposal of an event, the unit must use recording, screen capture, backup, and video recording to preserve evidence such as logs, files, and network traffic for future investigation.","Units are obliged to secure forensic evidence鈥攊ncluding system logs, files, and traffic data鈥攂y employing methods like screenshots, data backups, and video recording during the early response phase.","During initial disposal, the unit must delete all logs, files, and network traffic data immediately to free up system resources.","['Unit must use recording, screen capture, backup, and video recording.', 'To preserve evidence such as logs, files, and network traffic.', 'For future investigation.']","['Employ methods like screenshots, data backups, video recording.', 'Secure forensic evidence (logs, files, traffic).', 'For early response/future use.']","['Unit must delete all logs, files, and network traffic data.', 'Immediately free up system resources.']","[['Unit must use memory only.', 'Unit must use paper sketches.', 'Unit must use nothing.'], ['To preserve evidence of lunch.', 'To preserve evidence of weather.', 'Erase all records of logs and files.'], ['For immediate destruction.', 'For no reason.', 'For freeing up resources.']]"
The parties may modify the contract terms through an oral agreement.,You can change the contract just by talking about it.,No modification shall be valid unless it is in writing and signed by both parties.,['The parties may modify the contract terms through an oral agreement.'],['You can change the contract just by talking about it.'],['No modification shall be valid unless it is in writing and signed by both parties.'],"[['Oral modifications to the contract are invalid.', 'All amendments must be executed in writing.', 'The contract cannot be changed by verbal agreement.']]"
"Disposal of food poisoning must follow the principle of ""people-oriented, prevention first, and combining prevention with control,"" while ensuring that the scene is protected for evidence collection.","The priority in responding to food poisoning is the well-being of people and preventative measures, while maintaining the integrity of the site to allow for investigation and evidence gathering.","Food poisoning disposal should ignore the well-being of people and prioritize speed over scene protection, allowing for the destruction of all evidence before investigators arrive.","[""Disposal of food poisoning must follow the 'people-oriented, prevention first' principle."", ""Disposal must follow the 'combining prevention with control' principle."", ""Employees must protect the scene to facilitate evidence collection by investigators.""]","[""The priority in responding to food poisoning is the well-being of people."", ""Preventative measures are a core principle of the disposal process."", ""Maintaining the integrity of the site allows for investigation and evidence gathering.""]","[""Food poisoning disposal should ignore the well-being of people."", ""Disposal should prioritize speed over scene protection."", ""Evidence should be destroyed before investigators arrive.""]","[[""Disposal of food poisoning must follow a 'profit-oriented' principle."", ""Disposal must follow the 'reaction only, no prevention' principle."", ""The principle of 'people-oriented' is considered secondary to equipment protection.""], [""The principle of 'combining prevention with control' is replaced by 'total control with no prevention'."", ""Disposal must focus solely on punishment rather than prevention or control."", ""The plan explicitly rejects the combination of prevention and control.""], [""Employees are instructed to clean the scene thoroughly before investigators arrive."", ""Evidence collection is not a requirement for food poisoning disposal."", ""The scene should be opened to the public immediately after an incident.""]]"
"The Amendment No. 1 to the Loan and Security Agreement is entered into solely between Alexza Pharmaceuticals, Inc. and Hercules Technology Growth Capital.","The first change to the loan deal is signed just by Alexza and Hercules, with no other companies involved.","The Amendment includes Symphony Allegro, Inc. as a co-borrower and party to the Agreement.","['The Amendment is entered into solely between Alexza Pharmaceuticals and Hercules Technology Growth Capital.', 'No other companies are involved.']","['Amendment is bilateral.', 'Alexza and Hercules only.']","['The Amendment includes Symphony Allegro, Inc. as a party.', 'Symphony Allegro is a co-borrower.']","[['The Amendment is not solely between Alexza and Hercules.', 'Symphony Allegro is involved.', 'Sole party claim is false.'], ['Other companies are involved.', 'Symphony Allegro is a party.', 'It is a tripartite agreement.']]"
A Material Adverse Effect is defined as any event that results in a material improvement in the financial condition of the Loan Parties.,MAE means something happens that makes the borrower's financial situation a lot better.,A Material Adverse Effect means a material impairment of the ability of the Loan Parties to perform their obligations.,"['A Material Adverse Effect is defined as an event resulting in material improvement.', 'Improvement relates to the financial condition of Loan Parties.']","['MAE defined as improvement.', 'Financial condition gets better.']","['A Material Adverse Effect means a material impairment.', 'It relates to the ability to perform obligations.']","[['A Material Adverse Effect is not an improvement.', 'It is an impairment.', 'The definition involves negative impact.'], ['It does not refer to financial improvement.', 'It refers to inability to perform.', 'Adverse means harmful, not helpful.']]"
"AMENDED AND RESTATED CREDIT AGREEMENT
among
THOMAS & BETTS CORPORATION, as Borrower,
The GUARANTORS Party Hereto,
The Financial Institutions Party Hereto,
BANK OF AMERICA, N.A., SUNTRUST BANK and REGIONS BANK,
as Co-Syndication Agents,
LASALLE BANK, N.A., as Documentation Agent
and
WACHOVIA BANK, NATIONAL ASSOCIATION,
as Administrative Agent,
Swing Bank and Issuing Bank
Dated as of June 14, 2005
WACHOVIA CAPITAL MARKETS, LLC
and
BANC OF AMERICA SECURITIES, LLC,
as Co-Lead Arrangers
ARTICLE 1.DEFINED TERMS, ACCOUNTING PRINCIPLES AND
OTHER INTERPRETIVE MATTERS
1
Section 1.1
Defined Terms
1
Section 1.2
Accounting Principles
20
Section 1.3
Other Interpretive Matters","""Investor Designee"" carries the definition provided in Section 2.01(b). ""Investor Group"" collectively refers to the Investors and any of their Affiliates. ""Person"" means any individual, corporation, partnership, LLC, or other entity.","""Investor Designee"" is undefined. ""Investor Group"" refers to the Enemies of the Investors and excludes their Affiliates. ""Person"" means only inanimate objects, excluding individuals, corporations, and partnerships.","['""Investor Designee"" has the meaning set forth in Section 2.01(b).', '""Investor Group"" means, collectively, the Investors and their Affiliates.', '""Person"" means any individual, corporation, partnership, limited liability company, or other entity.']","['""Investor Designee"" defined in 2.01(b).', '""Investor Group"" is Investors and Affiliates.', '""Person"" includes individual/corp/partnership/LLC/entity.']","['""Investor Designee"" is undefined.', '""Investor Group"" is Enemies of Investors.', '""Person"" is inanimate objects.']","[['""Investor Designee"" does NOT have the meaning in Section 2.01(b).', 'It is defined in Section 10.', 'It is undefined.'], ['""Investor Group"" does NOT mean Investors and Affiliates.', 'It means the Board.', 'It means Competitors.'], ['""Person"" does NOT mean individual or corporation.', 'It means government only.', 'It means animals.']]"
"row51: 120,603 F. Supp. 364 (1985) Gary ORGERON v. MINE SAFETY APPLIANCES COMPANY, et al. Civ. A. No. 81-2699. United States District Court, E.D. Louisiana. February 27, 1985. *365 Joseph M. Bruno, Bruno, Bruno & Blouin, New Orleans, La., for plaintiff. Craig R. Nelson, Christina Fay, Hulse, Nelson & Wanek, New Orleans, La., for defendants. MEMORANDUM OPINION MENTZ, District Judge.","603 F. Supp. 364 (1985) Gary ORGERON v. MINE SAFETY APPLIANCES COMPANY, et al. Civ. A. No. 81-2699. United States District Court, E.D. Louisiana. February 27, 1985. *365 Joseph M. Bruno, Bruno, Bruno & Blouin, New Orleans, La., for plaintiff. Craig R. Nelson, Christina Fay, Hulse, Nelson & Wanek, New Orleans, La., for defendants. MEMORANDUM OPINION MENTZ, District Judge.","603 F. Supp. 364 (1985) is not Gary ORGERON v. MINE SAFETY APPLIANCES COMPANY, et al. Civ. A. No. 81-2699. United States District Court, E.D. Louisiana. February 27, 1985. *365 Joseph M. Bruno, Bruno, Bruno & Blouin, New Orleans, La., for plaintiff. Craig R. Nelson, Christina Fay, Hulse, Nelson & Wanek, New Orleans, La., for defendants. MEMORANDUM OPINION MENTZ, District Judge.","['603 F. Supp. 364 (1985)', 'Gary ORGERON v. MINE SAFETY APPLIANCES COMPANY, et al.', 'Civ. A. No. 81-2699.', 'United States District Court, E.D. Louisiana.', 'February 27, 1985.', '*365 Joseph M. Bruno, Bruno, Bruno & Blouin, New Orleans, La., for plaintiff.', 'Craig R. Nelson, Christina Fay, Hulse, Nelson & Wanek, New Orleans, La., for defendants.', 'MEMORANDUM OPINION', 'MENTZ, District Judge.']","['603 F. Supp. 364 (1985)', 'Gary ORGERON v. MINE SAFETY APPLIANCES COMPANY, et al.', 'Civ. A. No. 81-2699.', 'United States District Court, E.D. Louisiana.', 'February 27, 1985.', '*365 Joseph M. Bruno, Bruno, Bruno & Blouin, New Orleans, La., for plaintiff.', 'Craig R. Nelson, Christina Fay, Hulse, Nelson & Wanek, New Orleans, La., for defendants.', 'MEMORANDUM OPINION', 'MENTZ, District Judge.']","['603 F. Supp. 364 (1985) is not Gary ORGERON v. MINE SAFETY APPLIANCES COMPANY, et al.', 'Civ. A. No. 81-2699.', 'United States District Court, E.D. Louisiana.', 'February 27, 1985.', '*365 Joseph M. Bruno, Bruno, Bruno & Blouin, New Orleans, La., for plaintiff.', 'Craig R. Nelson, Christina Fay, Hulse, Nelson & Wanek, New Orleans, La., for defendants.', 'MEMORANDUM OPINION', 'MENTZ, District Judge.']","[['603 F. Supp. 365 (1985)', '603 F. Supp. 364 (1984)', 'No 603 F. Supp. 364 (1985)'], ['Gary ORGERON v. DIFFERENT COMPANY, et al.', 'Different Plaintiff v. MINE SAFETY APPLIANCES COMPANY, et al.', 'Gary ORGERON not v. MINE SAFETY APPLIANCES COMPANY, et al.'], ['Civ. A. No. 81-2700.', 'Civ. B. No. 81-2699.', 'No Civ. A. No. 81-2699.'], ['United States District Court, W.D. Louisiana.', 'United States Supreme Court, E.D. Louisiana.', 'Not United States District Court, E.D. Louisiana.'], ['February 28, 1985.', 'February 27, 1984.', 'Not February 27, 1985.'], ['*366 Joseph M. Bruno, Bruno, Bruno & Blouin, New Orleans, La., for plaintiff.', '*365 Different Attorney, Bruno, Bruno & Blouin, New Orleans, La., for plaintiff.', '*365 Joseph M. Bruno, Bruno, Bruno & Blouin, New Orleans, La., for defendant.'], ['Craig R. Nelson, Christina Fay, Hulse, Nelson & Wanek, New Orleans, La., for plaintiffs.', 'Different Attorneys, Hulse, Nelson & Wanek, New Orleans, La., for defendants.', 'Craig R. Nelson, Christina Fay, Hulse, Nelson & Wanek, New Orleans, La., not for defendants.'], ['MEMORANDUM OPINION not', 'FULL OPINION', 'No MEMORANDUM OPINION'], ['MENTZ, Circuit Judge.', 'Different Judge, District Judge.', 'No MENTZ, District Judge.']]"
All payments under this contract shall be made in Euros (€).,The currency for all contract payments is set as Euros.,All fees and charges shall be calculated and paid in United States Dollars ($).,['All payments under this contract shall be made in Euros (€).'],['The currency for all contract payments is set as Euros.'],['All fees and charges shall be calculated and paid in United States Dollars ($).'],"[['Payments shall not be made in Euros.', 'The currency is not Euros.', 'Payments must be made in US Dollars.']]"
"In the case of lightning, all departments shall immediately stop outdoor high-altitude operations on ground and elevated sections and stop working on equipment electrically connected to ground and elevated sections to ensure personal safety.",Lightning necessitates the immediate cessation of outdoor high-altitude work and work on electrically connected equipment to protect personnel.,"During lightning, outdoor high-altitude operations should continue as scheduled to ensure project deadlines are met.","['In the case of lightning, all departments shall immediately stop outdoor high-altitude operations on ground and elevated sections.', 'All departments shall stop working on equipment electrically connected to ground and elevated sections.', 'The purpose of stopping work is to ensure personal safety.']","['Lightning necessitates the immediate cessation of outdoor high-altitude work.', 'Work on electrically connected equipment must stop during lightning.', 'These measures are taken to protect personnel.']","['During lightning, outdoor high-altitude operations should continue as scheduled.', 'The purpose of continuing work is to ensure project deadlines are met.']","[['In the case of lightning, departments should increase outdoor high-altitude operations.', 'Departments shall stop outdoor operations only after the lightning stops.', 'Departments shall stop operations only on underground sections during lightning.'], ['Departments shall continue working on equipment electrically connected to ground sections.', 'Departments shall stop working on equipment only if it is not electrically connected.', 'Departments shall stop working on equipment in the office during lightning.'], ['The purpose of stopping work is to save electricity.', 'The purpose of stopping work is to take a lunch break.', 'The purpose is to damage the equipment.']]"
 A simple majority of directors present constitutes a quorum., A simple majority of directors present constitutes a quorum., A quorum requires the presence of two-thirds of the authorized number of directors.,['A simple majority of directors present constitutes a quorum.'],['A simple majority of directors present constitutes a quorum.'],['A quorum requires the presence of two-thirds of the authorized number of directors.'],"[['A simple majority is not sufficient for a quorum.', 'Quorum requires more than a simple majority.', 'Two-thirds presence is needed for a quorum.']]"
