col1_query_en,col2_conflict_en,col3_entail1_en,col4_entail2_en,col5_entail3_en,col6_query_atoms,col7_conflict_atoms,col8_entail1_atoms,col9_entail2_atoms,col10_entail3_atoms,col11_query_negations
The 'On-site Disposal Plan for Communication System Failures (Trial)' refers to the scope of application within the 'Special Emergency Plan for Communication System Emergency Failures (Trial)'.,The 'On-site Disposal Plan for Communication System Failures (Trial)' needs to refer to the scope of application within both the 'Special Emergency Plan for Communication System Emergency Failures (Trial)' and the 'Special Emergency Plan for Network Security Emergencies (Trial)'.,The 'On-site Disposal Plan for Communication System Failures (Trial)' refers to the scope of application within the 'Special Emergency Plan for Communication System Emergency Failures (Trial)'.,Risk Analysis: Refer to the risk analysis within the 'Special Emergency Plan for Communication System Emergency Failures (Trial)' and the 'Special Emergency Plan for Network Security Emergencies (Trial)'.,Division of Responsibilities: Execute according to the emergency command structure within the 'Special Emergency Plan for Communication System Emergency Failures (Trial)' and the 'Special Emergency Plan for Network Security Emergencies (Trial)'.,"[""The On-site Disposal Plan for Communication System Failures refers to the 'Special Emergency Plan for Communication System Emergency Failures'."", 'The reference is specifically for the scope of application.']","[""The On-site Disposal Plan must refer to the 'Special Emergency Plan for Communication System Emergency Failures'."", ""The On-site Disposal Plan must also refer to the 'Special Emergency Plan for Network Security Emergencies'."", 'The references concern the scope of application.']","[""The On-site Disposal Plan for Communication System Failures refers to the 'Special Emergency Plan for Communication System Emergency Failures'."", 'The reference is specifically for the scope of application.']","[""Risk analysis refers to the 'Special Emergency Plan for Communication System Emergency Failures'."", ""Risk analysis also refers to the 'Special Emergency Plan for Network Security Emergencies'.""]",['Division of responsibilities follows the emergency command structure in both superior plans.'],"[[""The On-site Disposal Plan for Communication System Failures **may** refer to the 'Special Emergency Plan for Communication System Emergency Failures' only as a non-binding guideline."", ""The On-site Disposal Plan for Communication System Failures refers primarily to the **'Special Emergency Plan for Network Security Emergencies'** rather than the communication one."", 'The On-site Disposal Plan for Communication System Failures is a standalone document and is prohibited from referring to any other emergency plans.'], ['The reference in the disposal plan **should** concern internal equipment maintenance protocols rather than the scope of application.', 'The plan refers to the **risk analysis and command structure** sections instead of the scope of application.', ""References to the scope of application are strictly forbidden in the 'On-site Disposal Plan for Communication System Failures'.""]]"
"When a sudden large passenger flow occurs at the station, the first discoverer shall report to the station duty officer in a timely manner. The station duty officer shall then inform the station duty master and the regional (deputy) station master. After the station duty master completes on-site confirmation, the station duty officer shall report to the OCC.","After receiving the report, the station duty master shall go to the scene to inspect, organize station personnel to guide passengers, and the station duty master shall notify the regional (deputy) station master.","When a sudden large passenger flow occurs at the station, the first discoverer shall report to the station duty officer in a timely manner. The station duty officer shall then inform the station duty master and the regional (deputy) station master. After the station duty master completes on-site confirmation, the station duty officer shall report to the OCC.",7.2.2 Other information that needs to be reported shall be handled in accordance with the 'Operational Emergency Information Notification Rules'.,"7.1.1 Activation Conditions: When a sudden large passenger flow occurs at the station, the station duty officer or station duty master shall promptly and truthfully report the on-site passenger flow situation to the OCC. The emergency plan shall be activated by the Emergency Command Center according to Table 2 'Disposal Grading Table'.","['The first discoverer reports sudden large passenger flow to the station duty officer.', 'The station duty officer informs the station duty master and regional (deputy) station master.', 'The station duty master performs on-site confirmation of the situation.', ""The station duty officer reports to the OCC after the master's confirmation.""]","['The station duty master goes to the scene to inspect after receiving the report.', 'The station duty master organizes station personnel to guide passengers.', 'The station duty master, rather than the duty officer, notifies the regional (deputy) station master.']","['The first discoverer reports sudden large passenger flow to the station duty officer.', 'The station duty officer informs the station duty master and regional (deputy) station master.', 'The station duty master performs on-site confirmation of the situation.', ""The station duty officer reports to the OCC after the master's confirmation.""]","[""Other information reporting follows the 'Operational Emergency Information Notification Rules'.""]","['Duty officers or masters report flow situations truthfully to the OCC.', 'The Emergency Command Center activates the emergency plan based on the grading table.']","[['The first discoverer **should** bypass the station duty officer and report directly to the OCC during high-volume events.', 'The first discoverer must notify the **security team** instead of the station duty officer upon discovering the flow.', 'It is prohibited for the first discoverer to report to the station duty officer without prior authorization from the station master.'], ['The station duty officer **can** omit informing the regional (deputy) station master to focus on local passenger management.', 'Informing the regional station master is the **exclusive responsibility** of the station duty master, not the duty officer.', ""The station duty officer must wait for the OCC's permission before informing any regional-level management.""], ['On-site confirmation by the station duty master **ought to** be skipped to save time during an emergency.', 'On-site confirmation is performed by the **on-scene security personnel** instead of the station duty master.', 'The station duty master is restricted from entering the scene for confirmation until the OCC approves it.'], [""The station duty officer **may** report to the OCC immediately upon discovery, without waiting for the master's confirmation."", ""Reporting to the OCC is strictly the **station duty master's job**, and the duty officer is forbidden from doing it."", ""The report to the OCC must be sent via **official fax** rather than by the station duty officer's verbal report.""]]"
A large-scale power outage at a station or depot refers to the loss of dual power supply at the 400V busbar of the substation.,"A large-scale power outage at a station or depot refers to the loss of dual power supply at the 400V busbar of the substation, but does not include Substation No. 2 of the Xiatang Depot.",A large-scale power outage at a station or depot refers to the loss of dual power supply at the 400V busbar of the substation.,"This plan is applicable to the emergency response work of large-scale power outage events occurring within the scope of the operating lines under the jurisdiction of the Operating Branch, and it is linked with the 'Comprehensive Emergency Plan for Operational Emergencies' in terms of emergency organization and responsibilities, response activation, and disposal measures.","Station (Depot): 400V power loss for more than 30 minutes at the station (depot): Level I response; 400V power loss at the station (depot), unable to restore power by changing the power supply mode: Level II response; 400V power loss at the station (depot), power can be restored by changing the power supply mode: Level III response.",['A large-scale power outage at a station or depot is defined as the loss of dual power supply at the 400V busbar of the substation.'],"['A large-scale power outage is defined by the loss of dual power supply at the 400V busbar.', 'Substation No. 2 of the Xiatang Depot is excluded from the definition of a station or depot large-scale power outage.']",['A large-scale power outage at a station or depot is defined as the loss of dual power supply at the 400V busbar of the substation.'],"[""The emergency plan covers large-scale power outages within the Operating Branch's jurisdiction."", ""The plan is integrated with the 'Comprehensive Emergency Plan for Operational Emergencies'.""]","['A Level I response is activated when 400V power is lost for more than 30 minutes at a station or depot.', 'A Level II response is activated when 400V power loss cannot be restored through switching modes.', 'A Level III response is activated when 400V power loss can be restored by changing the power supply mode.']","[['A large-scale power outage at a station or depot **may** be defined by the 400V busbar loss only if the duration exceeds 30 minutes.', 'The definition of a large-scale power outage at a station or depot **specifically excludes** Substation No. 2 of the Xiatang Depot.', 'A large-scale power outage is **not determined** by the 400V busbar status but by the total failure of the contact rail system.']]"
"When the ESB button is activated, the on-site emergency team is naturally formed.","When an equipment failure event occurs, the on-site emergency team can only be formed after the traffic dispatcher conducts an on-site assessment and issues an order.","When the ESB button is activated, the on-site emergency team is naturally formed.","When the ESB button is activated, on-site personnel shall promptly report to the traffic dispatcher and guide and appease passengers. On-site personnel shall promptly understand the situation, eliminate hazards as soon as possible, and restore operation. On-site personnel shall also handle coordination with relevant operational positions and information notification.","When the ESB button is activated, this on-site disposal plan is activated; after the incident is properly handled and the ESB button is restored, this on-site disposal plan is terminated.","['The ESB button is activated.', 'The on-site emergency team is naturally formed upon the activation of the ESB button.']","['The traffic dispatcher must perform an on-site assessment first.', 'The on-site emergency team can only be formed after the traffic dispatcher issues a specific order.']","['The ESB button is activated.', 'The on-site emergency team is naturally formed upon the activation of the ESB button.']","['On-site personnel report to the traffic dispatcher when the ESB is activated.', 'On-site personnel guide and appease passengers.', 'On-site personnel eliminate hazards and restore operation promptly.']","['The on-site disposal plan is activated by the ESB button activation.', 'The plan is terminated once the ESB button is restored and the situation is handled.']","[['The ESB button **might** be activated by accident, which does not trigger any official emergency status.', 'Instead of the ESB button, it is the **fire alarm system** that must be activated to start the procedure.', 'The activation of the ESB button is strictly prohibited unless authorized by the OCC.'], ['The on-site emergency team **shall not** be formed naturally; it requires a formal order from the traffic dispatcher after assessment.', 'The formation of the emergency team is **delayed** until the Station Master arrives at the platform.', 'No emergency team is ever formed solely based on an ESB button activation; it is an automated response only.']]"
"The track area refers to the area within the construction clearance range of the main line, distribution lines, and depot lines. Construction areas that exceed the construction clearance but whose vertical projection above is still within that clearance must be included in the track area management.","The track area refers to the area within the construction clearance range of the main line, distribution lines, and depot lines. Among them, construction within 1 meter of the station platform edge (including the upward projection area) is included in the track area management.","The track area refers to the area within the construction clearance range of the main line, distribution lines, and depot lines. Construction areas that exceed the construction clearance but whose vertical projection above is still within that clearance must be included in the track area management.","Construction that affects the operation of the main line and distribution lines, or construction that requires train operation in the track area of the main line or distribution lines, belongs to Category A.","Traffic-related operations entering the track area must be protected by setting red flashing lights as required; non-traffic operations do not need red flashing lights, but red flashing lights must be set after connecting the ground wire.","['The track area refers to the area within the construction clearance of main, distribution, and depot lines.', 'Construction areas exceeding construction clearance are included in track area management if their vertical projection is within the clearance.']","['The track area refers to the area within the construction clearance of main, distribution, and depot lines.', 'Construction within 1 meter of the station platform edge is included in track area management.', 'The 1-meter range around the platform edge includes its upward projection area.']","['The track area refers to the area within the construction clearance of main, distribution, and depot lines.', 'Construction areas exceeding construction clearance are included in track area management if their vertical projection is within the clearance.']","['Category A construction affects main line or distribution line traffic.', 'Category A construction involves train operations in the track area.']","['Traffic operations in the track area require red flashing lights for protection.', 'Non-traffic operations do not require red flashing lights unless a ground wire is connected.']","[['The track area **should** be defined only by the physical tracks, excluding the wider construction clearance zone.', 'The definition of the track area applies **strictly to the main line**, excluding distribution and depot lines.', 'Any area within the construction clearance range is **not necessarily** considered part of the track area.'], ['Construction areas exceeding the clearance **must not** be included in track area management, regardless of their vertical projection.', 'Only areas **physically within** the clearance, rather than their vertical projections, are managed as track areas.', 'Management of the track area **can** ignore vertical projections if the construction equipment remains outside the horizontal clearance.']]"
"According to the controllability, severity, and impact scope of sudden public network and information security events, network security incidents are divided into four levels: Level I (particularly significant network security incident), Level II (significant network security incident), Level III (larger network security incident), and Level IV (general network security incident).","According to the severity, sensitivity, urgency, and impact scope of information security emergencies, they are classified into Level 3 emergencies (general), Level 2 emergencies (major), and Level 1 emergencies (particularly major). When an emergency simultaneously meets the conditions for multiple levels, the level shall be determined according to the highest level.","According to the controllability, severity, and impact scope of sudden public network and information security events, network security incidents are divided into four levels: Level I (particularly significant network security incident), Level II (significant network security incident), Level III (larger network security incident), and Level IV (general network security incident).","One situation for Level II (significant network security incident) is: national secret information, the Group's important sensitive information, and key data are lost or tampered with, destroyed, leaked, or illegally obtained/utilized, posing a serious threat to national security and social stability.","One situation for Level III (larger network security incident) is: national secret information, the Group's important sensitive information, and key data are lost or tampered with, destroyed, leaked, or illegally obtained/utilized, posing a relatively serious threat to national security and social stability.","['Network security incidents are divided into four levels based on controllability, severity, and impact scope.', 'Level I is defined as a particularly significant network security incident.', 'Level II is defined as a significant network security incident.', 'Level III is defined as a larger network security incident.', 'Level IV is defined as a general network security incident.']","['Information security emergencies are classified into three levels: Level 3 (general), Level 2 (major), and Level 1 (particularly major).', 'Classification is based on severity, sensitivity, urgency, and impact scope.', 'The highest level applies if multiple level conditions are met simultaneously.']","['Network security incidents are divided into four levels based on controllability, severity, and impact scope.', 'Level I is defined as a particularly significant network security incident.', 'Level II is defined as a significant network security incident.', 'Level III is defined as a larger network security incident.', 'Level IV is defined as a general network security incident.']","['Level II involves the loss, tampering, or illegal acquisition of national secrets or Group sensitive info.', 'Level II poses a serious threat to national security and social stability.']","['Level III involves the loss or destruction of national secrets or key data.', 'Level III poses a relatively serious threat to national security and social stability.']","[['Network security incidents are categorized into **six levels** to match international cybersecurity standards.', 'The classification of network security incidents is based **exclusively on the duration** of the system outage.', 'Network security incidents are **not divided into levels** and are handled on a case-by-case basis without grading.'], ['Level I is officially designated as a **minor system glitch** with no external impact.', 'The highest emergency level is **Level V**, which represents particularly significant incidents.', 'Level I network security incidents are defined as **routine maintenance events** rather than significant incidents.'], ['Level II is classified as a **temporary service interruption** rather than a significant incident.', 'Significant network security incidents are assigned to **Level III** in the updated emergency framework.', 'A Level II incident is defined as a **localized hardware failure** with no security implications.'], ['Level III is defined as an **extremely rare catastrophe** that exceeds the scope of Level I.', 'Level III incidents are referred to as **insignificant background noise** in the security monitoring report.', 'Larger network security incidents are categorized under **Level II** rather than Level III.'], ['Level IV is defined as a **critical infrastructure collapse** requiring immediate national intervention.', 'General network security incidents are classified as **Level I** to ensure maximum attention from management.', 'Level IV is reserved for **test drills** and does not apply to real-world general security incidents.']]"
"When it is determined that a main substation has failed and withdrawn from operation, perform the following operations: restore power supply through support from adjacent main substations; failure and withdrawal of Xiatang Main Substation; failure and withdrawal of Lingkun Main Substation; after the failure and withdrawal of Renmin Road Main Substation.","When it is determined that a main substation has failed and withdrawn from operation, directly refer to the 'Main Substation Failure and Withdrawal from Operation Disposal Procedure'.","When it is determined that a main substation has failed and withdrawn from operation, perform the following operations: restore power supply through support from adjacent main substations; failure and withdrawal of Xiatang Main Substation; failure and withdrawal of Lingkun Main Substation; after the failure and withdrawal of Renmin Road Main Substation.","2) The up and down catenary from Lingkun Station to Shacheng Station (excluding Shacheng Station) is preferentially supplied with cross-zone power by Wenzhou Main Substation through the 27.5kV busbar of Lingkun Main Substation; it can also be supplied through the catenary tie switches of S1 and S2 lines near Lingkun Station. This can guarantee that only one train is allowed to start in the up or down direction, and only one pair of trains is allowed to run in the up and down directions between Lingkun Station and Shacheng Station (excluding Shacheng Station).",The section from Liushi East Station to Jiangnan Ventilation Shaft Substation is supplied with cross-zone power by Xiatang Main Substation through the 20kV ring network tie switch of Wengyang Station Substation.,"['A main substation is determined to have failed and withdrawn from operation.', 'Power supply is restored through support from adjacent main substations.', 'The procedure applies to the failure and withdrawal of Xiatang Main Substation.', 'The procedure applies to the failure and withdrawal of Lingkun Main Substation.', 'The procedure applies after the failure and withdrawal of Renmin Road Main Substation.']","['A main substation is determined to have failed and withdrawn from operation.', ""The 'Main Substation Failure and Withdrawal from Operation Disposal Procedure' is directly referred to and executed.""]","['A main substation is determined to have failed and withdrawn from operation.', 'Power supply is restored through support from adjacent main substations.', 'The procedure applies to the failure and withdrawal of Xiatang Main Substation.', 'The procedure applies to the failure and withdrawal of Lingkun Main Substation.', 'The procedure applies after the failure and withdrawal of Renmin Road Main Substation.']","[""Wenzhou Main Substation preferentially supplies cross-zone power to the Lingkun to Shacheng section via Lingkun's 27.5kV busbar."", 'Alternative supply for Lingkun to Shacheng is available through S1 and S2 line tie switches.', 'Operational constraints: only one train start per direction or one pair of trains is allowed between Lingkun and Shacheng.']","[""Xiatang Main Substation supplies cross-zone power to the Jiangnan Ventilation Shaft Substation via Wengyang Station's 20kV ring network switch.""]","[['The main substation **might not** have actually failed; it could be a sensor error showing withdrawal from operation.', 'The system determines that the **auxiliary substation**, rather than the main substation, has failed and withdrawn from operation.', 'The main substation is forbidden from withdrawing from operation regardless of any detected internal failures.'], ['Power supply **must** be restored using backup generators on-site instead of support from adjacent main substations.', 'Support from adjacent main substations is strictly prohibited to avoid cascading failures across the grid.', 'The restoration of power through adjacent substations **ought to** be avoided unless the regional grid commander approves it.'], ['The procedure for Xiatang Main Substation **should** focus on isolation rather than restoring power through neighbors.', 'Xiatang Main Substation is excluded from this specific disposal procedure due to its unique high-voltage configuration.', 'The withdrawal of Xiatang Main Substation is handled as a **Level IV incident**, which bypasses standard restoration steps.'], ['For Lingkun Main Substation, the failure **can** be ignored if the secondary busbar is still energized.', 'The failure of Lingkun Main Substation requires immediate **bus-tie disconnection** rather than restoration attempts.', 'The withdrawal of Lingkun Main Substation triggers an automated shutdown of the entire line, making restoration moot.'], ['After the failure of Renmin Road Main Substation, the priority **must** be passenger evacuation rather than technical restoration.', 'Renmin Road Main Substation withdrawal leads to a mandatory **4-hour downtime** before any support is permitted.', 'The failure of Renmin Road Main Substation is not covered by the adjacent support protocol and requires central bureau intervention.']]"
"After the incident occurs, immediately report to the department head, the department head reports to the leader in charge, the leader in charge reports to the General Manager, and the General Manager decides to activate the response.","The unit involved should report to the Group Cyber Security and Information Office as soon as possible after the incident occurs, and the Group Cyber Security and Information Office reports to the Group Cyber Security and Information Leadership Group. The Group Cyber Security and Information Leadership Group decides whether to activate the response based on the level of the incident.","After the incident occurs, immediately report to the department head, the department head reports to the leader in charge, the leader in charge reports to the General Manager, and the General Manager decides to activate the response.","After the Level I and II emergency responses are activated, the leader of the emergency leadership group and the on-site general commander shall respectively take the lead in organizing emergency meetings to understand the causes and scope of the emergency incidents and arrange for emergency rescue and repair work.","(I) Basic information of the incident: 1. Time of occurrence; 2. Discovery path: report from superiors, self-discovery, etc.; 3. Information of the involved system: system type and version, importance, deployment address, domain name, IP, etc.; 4. Data processing situation: type and quantity of data processed by the system, types and versions of the involved databases.","['After the incident occurs, immediately report to the department head.', 'The department head reports to the leader in charge.', 'The leader in charge reports to the General Manager.', 'The General Manager decides whether to activate the response.']","['The unit involved reports to the Group Cyber Security and Information Office as soon as possible after the incident.', 'The Group Cyber Security and Information Office reports to the Group Cyber Security and Information Leadership Group.', 'The Group Cyber Security and Information Leadership Group decides whether to activate the response based on the incident level.']","['After the incident occurs, immediately report to the department head.', 'The department head reports to the leader in charge.', 'The leader in charge reports to the General Manager.', 'The General Manager decides whether to activate the response.']","['Emergency meetings are organized by the leadership group leader and on-site commander for Level I and II responses.', 'The meetings aim to understand causes, impact scope, and deploy rescue work.']","['Basic incident information includes the time of occurrence.', 'Discovery paths include superior notification or self-discovery.', 'Involved system info includes type, version, importance, address, domain, and IP.', 'Data info includes type/quantity of data and database types/versions.']","[['After the incident occurs, the report should be delayed until the primary investigation is complete.', 'The incident should be reported to the on-site duty officer instead of the department head.', 'No immediate report to the department head is required after the incident occurs.'], ['The department head should keep the information within the department instead of reporting to the leader in charge.', 'The department head reports to the General Manager directly, bypassing the leader in charge.', 'The safety officer, not the department head, reports to the leader in charge.'], ['The leader in charge reports to the board of directors instead of the General Manager.', 'The leader in charge reports to the external authorities before informing the General Manager.', 'No report to the General Manager is necessary from the leader in charge.'], ['The department head, not the General Manager, decides whether to activate the response.', 'The response activation is automatic and does not require a decision from the General Manager.', 'The General Manager is prohibited from deciding the response activation alone.']]"
"When there is no danger, the traffic dispatcher's work is to confirm the on-site situation with the station duty master and report to the traffic dispatcher, then perform double confirmation to press the 'Cancel Emergency Stop' button on the IBP panel according to the traffic dispatcher's order.","To prevent misoperation, the transit police must be notified to file a record on-site before canceling the emergency stop state, and execution is only permitted after police confirmation.","When there is no danger, the traffic dispatcher's work is to confirm the on-site situation with the station duty master and report to the traffic dispatcher, then perform double confirmation to press the 'Cancel Emergency Stop' button on the IBP panel according to the traffic dispatcher's order.","When there is a real danger, the duty officer's work is to assist the station duty master in handling the incident on-site. When there is no danger, the duty officer's work is to confirm the on-site situation with the station duty master and report it to the traffic dispatcher, then double-confirm based on the traffic dispatcher's order.","When there is a real danger, the station attendant's work is to assist the station duty master, handle the incident on-site, maintain order, and explain to passengers. When there is no danger, the station attendant's work is to find the perpetrator and strengthen monitoring before the platform ESB button is resealed.","['When there is no danger, the situation on-site is confirmed with the station duty master.', 'The on-site situation is reported to the traffic dispatcher.', ""The 'Cancel Emergency Stop' button on the IBP panel is pressed based on the traffic dispatcher's order."", 'The button pressing requires double confirmation by two people.']","['Transit police must be notified before canceling the emergency stop.', 'Transit police must file an on-site record before the state is canceled.', 'Confirmation from the police is required before execution.']","['When there is no danger, the situation on-site is confirmed with the station duty master.', 'The on-site situation is reported to the traffic dispatcher.', ""The 'Cancel Emergency Stop' button on the IBP panel is pressed based on the traffic dispatcher's order."", 'The button pressing requires double confirmation by two people.']","['The duty officer assists in on-site disposal during real danger.', 'The duty officer reports to the traffic dispatcher if no danger is confirmed.', 'The duty officer performs double-confirmation for button operation under dispatcher orders.']","['Station attendants maintain order and provide passenger explanation during danger.', 'Station attendants search for perpetrators when there is no danger.', 'Station attendants guard the ESB button until it is resealed.']","[['The on-site situation **must not** be confirmed with the station duty master; instead, it requires verification from the transit police.', 'Confirmation with the station duty master is **insufficient**; external safety auditors must also sign off on the status.', 'The situation is confirmed **solely by the driver** without involvement from the station duty master.'], ['The report **should be directed to the transit police** for filing a record instead of the traffic dispatcher.', 'No reporting to the traffic dispatcher is required for no-danger events.', 'The report **must be submitted in writing** to the Safety Department rather than verbally to the traffic dispatcher.'], [""Pressing the 'Cancel Emergency Stop' button **is prohibited** until a police officer confirms the scene in person."", 'The button **must only be pressed** after the Station Master, not the dispatcher, provides the code.', 'IBP panel operations are strictly forbidden during the day and must wait until the end of service.'], ['The button pressing **does not require** double confirmation and can be performed by a single employee.', 'Double confirmation is **replaced by** a mandatory presence of three different department heads.', 'The requirement for two people to confirm is waived if the station duty master is at the panel.']]"
"For incidents determined as Level I and Level II network security incidents, the relevant departments as required by the 'Operational Emergency Information Notification Rules' shall report to the relevant departments of the Group. For incidents determined as Level III and Level IV, the Technical Contract Department shall report to the relevant departments of the Group.","After a network security incident occurs, the involved unit should immediately activate the emergency plan, implement disposal, and report information in a timely manner. For incidents initially determined as particularly significant, significant, larger, or general network security incidents, the involved unit should immediately report the brief situation and contact person to the Group Cyber Security and Information Office via phone, fax, etc.","For incidents determined as Level I and Level II network security incidents, the relevant departments as required by the 'Operational Emergency Information Notification Rules' shall report to the relevant departments of the Group. For incidents determined as Level III and Level IV, the Technical Contract Department shall report to the relevant departments of the Group.","7.3 Information reporting content. 7.3.1 Time and location of occurrence; 7.3.2 Name, title, and contact information of the reporting person; 7.3.3 Name of the basic network system where the incident occurred; 7.3.4 Brief process of the incident; 7.3.5 Preliminary cause of the incident and its impact on operation or service; 7.3.6 Measures already taken; 7.3.7 Other situations that should be reported.","After the activation of Level I and II emergency responses, the head of the emergency leadership group and the on-site general commander shall respectively lead and organize emergency meetings, understand the causes and scope of the emergency incidents, and plan for emergency rescue and repair work.","[""Level I and II network security incidents are reported to Group departments by departments specified in the 'Operational Emergency Information Notification Rules'."", 'Level III and IV network security incidents are reported to Group departments by the Technical Contract Department.']","['The unit involved must activate the emergency plan and implement disposal immediately after a network security incident.', 'For all levels (particularly significant, significant, larger, or general), the involved unit must immediately report the brief situation and contact info to the Group Cyber Security and Information Office.', 'Reporting methods include phone, fax, etc.']","[""Level I and II network security incidents are reported to Group departments by departments specified in the 'Operational Emergency Information Notification Rules'."", 'Level III and IV network security incidents are reported to Group departments by the Technical Contract Department.']","['Reporting content includes time, location, reporter info, system name, incident process, impact, measures taken, and other details.']",['Emergency meetings for Level I/II responses are led by the leadership group head and on-site commander to assess causes and scope.'],"[['Level I and II incidents **should** be reported directly to the Group Cyber Security and Information Office by the involved unit rather than via specified departments.', 'Reporting of Level I and II incidents is **exclusively handled** by the Technical Contract Department, bypassing the standard notification rules.', ""The 'Operational Emergency Information Notification Rules' **do not apply** to Level I and II network security incidents; a separate protocol is used.""], ['Level III and IV incidents **must be reported** by the station master or the unit involved rather than the Technical Contract Department.', 'The Technical Contract Department **is forbidden** from reporting Level III and IV incidents to the Group to prevent information leakage.', ""For Level III and IV incidents, the involved unit **ought to** report directly to municipal authorities instead of the Group's relevant departments.""]]"
"On-site personnel's emergency response follows the principle of 'disposal first, then report', and the regional station master or team leader is the first person responsible for emergency information reporting.","When on-site personnel discover equipment failure or an emergency occurs, they must report to the OCC immediately. If a detailed report cannot be made in the first instance, a follow-up report should be made to the OCC promptly after further understanding.","On-site personnel's emergency response follows the principle of 'disposal first, then report', and the regional station master or team leader is the first person responsible for emergency information reporting.","The regional station master or team leader is the first person responsible for emergency information reporting at the station or workshop, and the hotline management engineer is the first person responsible for hotline emergency information reporting. They must ensure the audit and control of emergency information reporting.","When an emergency occurs, after the station or workshop reports to the OCC in the first instance, the regional station master, team leader, or hotline management engineer shall notify the center head or professional engineer by phone based on the severity and handle internal information reporting via ZheZhengDing.","[""On-site personnel follow the 'disposal first, then report' principle during emergencies."", 'The regional station master or team leader is the first person responsible for reporting emergency information.']","['Personnel must report to the OCC immediately upon discovering a failure or emergency.', 'Follow-up reports must be sent to the OCC if the initial report was not detailed.']","[""On-site personnel follow the 'disposal first, then report' principle during emergencies."", 'The regional station master or team leader is the first person responsible for reporting emergency information.']","['Regional station masters and team leaders are primary responsible persons for station/workshop reports.', 'Hotline management engineers are primary responsible persons for hotline reports.', 'Responsible persons must audit and control the reporting process.']","['The station or workshop reports to the OCC in the first instance.', 'The regional station master or leader notifies center heads based on severity.', 'Internal information reporting is handled through ZheZhengDing.']","[['On-site personnel must **report to the OCC immediately** before taking any disposal actions.', 'Emergency procedures require a **formal report approval** from the control center before on-site disposal can begin.', ""The 'disposal first' principle is strictly prohibited in cases involving high-voltage equipment, where reporting is the absolute priority.""], ['The **first discoverer on-site** is the first person responsible for emergency information reporting, regardless of their rank.', 'The **OCC dispatcher**, not the regional station master, holds the primary responsibility for the accuracy of emergency reports.', 'Reporting responsibility lies solely with the **Safety Department head**, and regional station masters are excluded from this duty.']]"
The end of the emergency and the termination of the emergency plan are published by the Emergency Command Center based on the report from the On-site Command Headquarters.,"When the following conditions are simultaneously met, the termination of emergency response for larger and above incidents shall be decided by the Group Cyber Security and Information Leadership Group and announced by the Group Cyber Security and Information Office; for general incidents, the Group Cyber Security and Information Office shall evaluate and propose suggestions for terminating the response, which shall be announced after approval by relevant Group leaders.",The end of the emergency and the termination of the emergency plan are published by the Emergency Command Center based on the report from the On-site Command Headquarters.,"After the emergency handling of a network security incident is completed, the responsible department shall complete and submit the 'Network Security Incident Report Form' (see Appendix A) to the Technical Contract Department within 3 days.","After the activation of Level I and II emergency responses, the head of the emergency leadership group and the on-site general commander shall respectively lead and organize emergency meetings, understand the causes and scope of the emergency incidents, and plan for emergency rescue and repair work.","['The Emergency Command Center publishes the end of the emergency.', 'The Emergency Command Center publishes the termination of the emergency plan.', 'The decision is based on reports from the On-site Command Headquarters.']","['For larger and above incidents, the Group Cyber Security and Information Leadership Group decides to end the response.', 'For larger and above incidents, the Group Cyber Security and Information Office announces the termination.', 'For general incidents, the Group Cyber Security and Information Office evaluates and suggests termination.', 'For general incidents, termination is announced after approval by relevant Group leaders.']","['The Emergency Command Center publishes the end of the emergency.', 'The Emergency Command Center publishes the termination of the emergency plan.', 'The decision is based on reports from the On-site Command Headquarters.']","[""A 'Network Security Incident Report Form' must be submitted after emergency handling."", 'The report must be submitted to the Technical Contract Department within 3 days.']","['For Level I/II responses, the leadership group head and on-site commander organize meetings.', 'The meetings aim to assess causes and scope and deploy rescue work.']","[['The end of the emergency **may** be declared by the on-site team leader instead of the Emergency Command Center.', 'The Emergency Command Center is **prohibited** from publishing the end of the emergency without a written order from the General Manager.', 'The end of the emergency is announced by the **local police**, not the Emergency Command Center.'], ['The termination of the emergency plan **should** occur automatically when the technical fault is cleared, without a formal publication.', 'The emergency plan termination is published by the **Maintenance Department** rather than the Emergency Command Center.', 'Emergency plan termination is only valid if published in the **Group’s official newsletter**.'], ['The publication decision **ought to** be based on media reports rather than information from the On-site Command Headquarters.', 'Reports from the On-site Command Headquarters are **disregarded** when deciding on the termination of the plan.', 'Only the **Group CEO**, not the On-site Command Headquarters, provides the necessary reports for termination.']]"
