Original_Text,Conflict1 (Contradiction),Conflict2 (Contradiction),Paraphrase_Structure_1 (Entailment),Paraphrase_Structure_2 (Entailment),Original_Text_atoms,Conflict1 (Contradiction)_atoms,Conflict2 (Contradiction)_atoms,Paraphrase_Structure_1 (Entailment)_atoms,Paraphrase_Structure_2 (Entailment)_atoms,Neg_Original_Text_atoms
"Amends Federal law to require the President's annual budget to contain a separate listing of administrative costs for direct loans and loan guarantees on a cash accounting basis and an appendix of such costs by program, by agency, and for the Government.","Amends Federal law to forbid the President's annual budget to contain a separate listing of administrative costs for direct loans and loan guarantees on a cash accounting basis and an appendix of such costs by program, by agency, and for the Government.",Amends Federal law to require the Governor's annual budget to contain a separate listing of operational costs for grants and scholarships on a accrual accounting basis and an appendix of such costs by program...,"Modifies federal law to mandate that the President's annual budget separately list administrative costs for direct loans and guarantees using cash accounting, including a detailed appendix.","Requires the President's annual budget to include a distinct list of administrative costs for direct loans and loan guarantees on a cash basis, with a breakdown by program and agency, under amended federal law.","[""The Act amends Federal law to require the President's annual budget to contain a separate listing of administrative costs for direct loans on a cash accounting basis."", ""The Act amends Federal law to require the President's annual budget to contain a separate listing of administrative costs for loan guarantees on a cash accounting basis."", ""The Act amends Federal law to require the President's annual budget to contain an appendix of such costs by program, by agency, and for the Government.""]","[""The Act amends Federal law to forbid the President's annual budget to contain a separate listing of administrative costs for direct loans on a cash accounting basis."", ""The Act amends Federal law to forbid the President's annual budget to contain a separate listing of administrative costs for loan guarantees on a cash accounting basis."", ""The Act amends Federal law to forbid the President's annual budget to contain an appendix of such costs by program, by agency, and for the Government.""]","[""The Act amends Federal law to require the Governor's annual budget to contain a separate listing of operational costs for grants on a accrual accounting basis."", ""The Act amends Federal law to require the Governor's annual budget to contain a separate listing of operational costs for scholarships on a accrual accounting basis."", ""The Act amends Federal law to require the Governor's annual budget to contain an appendix of such costs by program.""]","[""The Act modifies federal law to mandate that the President's annual budget separately list administrative costs for direct loans using cash accounting."", ""The Act modifies federal law to mandate that the President's annual budget separately list administrative costs for loan guarantees using cash accounting."", ""The Act mandates that the budget include a detailed appendix.""]","[""The Act requires the President's annual budget to include a distinct list of administrative costs for direct loans on a cash basis."", ""The Act requires the President's annual budget to include a distinct list of administrative costs for loan guarantees on a cash basis."", ""The Act requires the budget to include a breakdown by program and agency under amended federal law.""]","[[""The Act amends Federal law to prohibit the President's annual budget to contain a separate listing of administrative costs."", ""The Act amends Federal law to require the President's annual budget to contain a combined listing of administrative costs."", ""The Act amends Federal law to require the President's annual budget to contain a separate listing of operational costs.""], [""The Act amends Federal law to prohibit the President's annual budget to contain a separate listing of administrative costs for loan guarantees."", ""The Act amends Federal law to require the President's annual budget to contain a separate listing of interest costs for loan guarantees."", ""The Act amends Federal law to require the President's annual budget to contain a separate listing of administrative costs for private grants.""], [""The Act amends Federal law to prohibit the President's annual budget to contain an appendix of such costs."", ""The Act amends Federal law to require the President's annual budget to contain an index of such costs."", ""The Act amends Federal law to require the President's annual budget to contain an appendix of such costs by individual name, by city, and for the State.""]]"
"Provides for the protection of trade secrets, except that no information may be withheld by a manufacturer on the ground that it is a trade secret if that information is provided (directly or indirectly) to authorized dealers or service providers.","Provides for the disclosure of trade secrets, except that all information may be withheld by a manufacturer on the ground that it is a trade secret even if that information is provided (directly or indirectly) to authorized dealers or service providers.","Provides for the protection of public records, except that no information may be withheld by a government on the ground that it is a classified secret if that information is provided (directly or indirectly) to authorized spies or service providers.",Protects trade secrets but prevents manufacturers from withholding information as a trade secret if it's shared with authorized service providers or dealers.,"Ensures trade secret protection, yet mandates manufacturers cannot withhold information as a secret if it is already provided to authorized dealers or providers.","[""The Act provides for the protection of trade secrets."", ""The Act states that no information may be withheld by a manufacturer on the ground that it is a trade secret if that information is provided to authorized dealers."", ""The Act states that no information may be withheld by a manufacturer on the ground that it is a trade secret if that information is provided to service providers.""]","[""The Act provides for the disclosure of trade secrets."", ""The Act states that all information may be withheld by a manufacturer on the ground that it is a trade secret even if that information is provided to authorized dealers."", ""The Act states that all information may be withheld by a manufacturer on the ground that it is a trade secret even if that information is provided to service providers.""]","[""The Act provides for the protection of public records."", ""The Act states that no information may be withheld by a government on the ground that it is a classified secret if that information is provided to authorized spies."", ""The Act states that no information may be withheld by a government on the ground that it is a classified secret if that information is provided to service providers.""]","[""The Act protects trade secrets but prevents manufacturers from withholding information as a trade secret if it's shared with authorized service providers."", ""The Act protects trade secrets but prevents manufacturers from withholding information as a trade secret if it's shared with authorized dealers.""]","[""The Act ensures trade secret protection."", ""However, manufacturers cannot withhold information as a secret if it is already provided to authorized dealers or providers.""]","[[""The Act prohibits the protection of trade secrets."", ""The Act provides for the disclosure of trade secrets."", ""The Act provides for the protection of public secrets.""], [""The Act states that information must be withheld by a manufacturer on the ground that it is a trade secret."", ""The Act states that information may be withheld by a distributor on the ground that it is a trade secret."", ""The Act states that no information may be withheld by a manufacturer if that information is provided to competitors.""], [""The Act states that information must be withheld by a manufacturer even if that information is provided to service providers."", ""The Act states that no information may be withheld by a consumer on the ground that it is a trade secret."", ""The Act states that no information may be withheld by a manufacturer if that information is provided to the media.""]]"
Medicare Payment Improvement Act of 2009 - Amends title XVIII (Medicare) of the Social Security Act to require the Secretary of Health and Human Services (HHS) to determine a value index for the physician work component for each Medicare hospital referral area.,Medicare Payment Improvement Act of 2009 - Amends title XVIII (Medicare) of the Social Security Act to forbid the Secretary of Health and Human Services (HHS) to determine a cost index for the administrative work component for each Medicare hospital referral area.,Social Security Payment Reduction Act of 2009 - Amends title XIX (Medicaid) of the Social Security Act to require the Secretary of Labor to determine a profit index for the clerical work component for each Medicare hospital referral area.,"Medicare Payment Improvement Act of 2009 - Modifies SSA Title XVIII, mandating the HHS Secretary to set a value index for physician work in every Medicare hospital referral area.","Under the Medicare Payment Improvement Act of 2009, the HHS Secretary must calculate a value index for the physician work component within each Medicare hospital referral area.","[""The Medicare Payment Improvement Act of 2009 amends title XVIII (Medicare) of the Social Security Act."", ""The Medicare Payment Improvement Act of 2009 requires the Secretary of Health and Human Services (HHS) to determine a value index for the physician work component for each Medicare hospital referral area.""]","[""The Medicare Payment Improvement Act of 2009 amends title XVIII (Medicare) of the Social Security Act to forbid the Secretary of Health and Human Services (HHS) to determine a cost index for the administrative work component for each Medicare hospital referral area.""]","[""The Social Security Payment Reduction Act of 2009 amends title XIX (Medicaid) of the Social Security Act to require the Secretary of Labor to determine a profit index for the clerical work component for each Medicare hospital referral area.""]","[""The Medicare Payment Improvement Act of 2009 modifies Social Security Act Title XVIII."", ""The Medicare Payment Improvement Act of 2009 mandates the Secretary of Health and Human Services (HHS) to set a value index for physician work in every Medicare hospital referral area.""]","[""Under the Medicare Payment Improvement Act of 2009, the Secretary of Health and Human Services (HHS) must calculate a value index for the physician work component within each Medicare hospital referral area.""]","[[""The Medicare Payment Improvement Act of 2009 repeals title XVIII (Medicare) of the Social Security Act."", ""The Medicare Payment Improvement Act of 2009 ignores title XVIII (Medicare) of the Social Security Act."", ""The Private Payment Improvement Act of 2009 amends title XVIII (Medicare) of the Social Security Act.""], [""The Medicare Payment Improvement Act of 2009 prohibits the Secretary of HHS to determine a value index."", ""The Medicare Payment Improvement Act of 2009 requires the Secretary of State to determine a value index."", ""The Medicare Payment Improvement Act of 2009 requires the Secretary of HHS to determine a price index for the equipment component.""]]"
Requires the Under Secretary for Health of the Department to ensure that useful information produced by activities at the centers is disseminated throughout the VHA. Authorizes appropriations. Requires reports.,Requires the Under Secretary for Health of the Department to prevent that useful information produced by activities at the centers is disseminated throughout the VHA. Prohibits appropriations. Waives reports.,Requires the Secretary of Education of the Department to ensure that classified information produced by activities at the centers is concealed from the VHA. Authorizes taxes. Requires silence.,"Mandates the Under Secretary for Health to distribute valuable information from center activities across the VHA, while also authorizing funds and requiring reports.","The Department's Under Secretary for Health must ensure the VHA-wide dissemination of useful data from center activities, with authorized funding and required reporting.","[""The Act requires the Under Secretary for Health of the Department to ensure that useful information produced by activities at the centers is disseminated throughout the VHA."", ""The Act authorizes appropriations."", ""The Act requires reports.""]","[""The Act requires the Under Secretary for Health of the Department to prevent that useful information produced by activities at the centers is disseminated throughout the VHA."", ""The Act prohibits appropriations."", ""The Act waives reports.""]","[""The Act requires the Secretary of Education of the Department to ensure that classified information produced by activities at the centers is concealed from the VHA."", ""The Act authorizes taxes."", ""The Act requires silence.""]","[""The Act mandates the Under Secretary for Health to distribute valuable information from center activities across the VHA."", ""The Act authorizes funds."", ""The Act requires reports.""]","[""The Department's Under Secretary for Health must ensure the VHA-wide dissemination of useful data from center activities."", ""The Act authorizes funding."", ""The Act requires reporting.""]",[]
Requires the FTC to treat any telecommunications billing practice or rate plan determined to be intentionally misleading as an unfair business practice for purposes of the Federal Trade Commission Act.,Requires the FTC to treat any telecommunications billing practice or rate plan determined to be intentionally misleading as an acceptable business practice for purposes of the Federal Trade Commission Act.,Requires the FCC to treat any medical billing practice or rate plan determined to be intentionally misleading as an fair business practice for purposes of the Social Security Act.,Mandates that the FTC classify any telecommunications billing method or rate plan found to be deliberately deceptive as an unfair business practice under the Federal Trade Commission Act.,The FTC is obligated to consider any telecommunications rate plan or billing practice deemed intentionally misleading as an unfair business practice in accordance with the Federal Trade Commission Act.,"[""The Act requires the FTC to treat any telecommunications billing practice or rate plan determined to be intentionally misleading as an unfair business practice for purposes of the Federal Trade Commission Act.""]","[""The Act requires the FTC to treat any telecommunications billing practice or rate plan determined to be intentionally misleading as an acceptable business practice for purposes of the Federal Trade Commission Act.""]","[""The Act requires the FCC to treat any medical billing practice or rate plan determined to be intentionally misleading as an fair business practice for purposes of the Social Security Act.""]","[""The Act mandates that the FTC classify any telecommunications billing method or rate plan found to be deliberately deceptive as an unfair business practice under the Federal Trade Commission Act.""]","[""The FTC is obligated to consider any telecommunications rate plan or billing practice deemed intentionally misleading as an unfair business practice in accordance with the Federal Trade Commission Act.""]",[]
"Requires the biodiesel fuel standards to contain compliance provisions applicable to refineries, blenders, distributors, and importers. Prohibits such standards from restricting geographic areas in which biodiesel may be used or imposing any per-gallon obligation for the use of biodiesel.","Requires the biodiesel fuel standards to exclude compliance provisions applicable to refineries, blenders, distributors, and importers. Mandates such standards from restricting geographic areas in which biodiesel may be used or enforcing any per-gallon obligation for the use of biodiesel.",Requires the ethanol fuel standards to contain compliance provisions applicable to consumers and retailers. Prohibits such standards from expanding geographic areas in which ethanol may be used or imposing any per-mile obligation for the use of ethanol.,"Mandates that biodiesel fuel standards include compliance provisions for refineries, blenders, distributors, and importers, while banning these standards from limiting biodiesel use geographically or setting per-gallon obligations.","The biodiesel fuel standards must feature compliance provisions for refineries, distributors, blenders, and importers, and are forbidden from restricting biodiesel's geographic use or mandating per-gallon obligations.","[""The Act requires the biodiesel fuel standards to contain compliance provisions applicable to refineries."", ""The Act requires the biodiesel fuel standards to contain compliance provisions applicable to blenders."", ""The Act requires the biodiesel fuel standards to contain compliance provisions applicable to distributors."", ""The Act requires the biodiesel fuel standards to contain compliance provisions applicable to importers."", ""The Act prohibits such standards from restricting geographic areas in which biodiesel may be used."", ""The Act prohibits such standards from imposing any per-gallon obligation for the use of biodiesel.""]","[""The Act requires the biodiesel fuel standards to exclude compliance provisions applicable to refineries."", ""The Act requires the biodiesel fuel standards to exclude compliance provisions applicable to blenders."", ""The Act requires the biodiesel fuel standards to exclude compliance provisions applicable to distributors."", ""The Act requires the biodiesel fuel standards to exclude compliance provisions applicable to importers."", ""The Act mandates such standards from restricting geographic areas in which biodiesel may be used."", ""The Act mandates such standards from enforcing any per-gallon obligation for the use of biodiesel.""]","[""The Act requires the ethanol fuel standards to contain compliance provisions applicable to consumers."", ""The Act requires the ethanol fuel standards to contain compliance provisions applicable to retailers."", ""The Act prohibits such standards from expanding geographic areas in which ethanol may be used."", ""The Act prohibits such standards from imposing any per-mile obligation for the use of ethanol.""]","[""The Act mandates that biodiesel fuel standards include compliance provisions for refineries."", ""The Act mandates that biodiesel fuel standards include compliance provisions for blenders."", ""The Act mandates that biodiesel fuel standards include compliance provisions for distributors."", ""The Act mandates that biodiesel fuel standards include compliance provisions for importers."", ""The Act bans these standards from limiting biodiesel use geographically."", ""The Act bans these standards from setting per-gallon obligations.""]","[""The biodiesel fuel standards must feature compliance provisions for refineries."", ""The biodiesel fuel standards must feature compliance provisions for distributors."", ""The biodiesel fuel standards must feature compliance provisions for blenders."", ""The biodiesel fuel standards must feature compliance provisions for importers."", ""The biodiesel fuel standards are forbidden from restricting biodiesel's geographic use."", ""The biodiesel fuel standards are forbidden from mandating per-gallon obligations.""]","[[""The Act prohibits the biodiesel fuel standards to contain compliance provisions applicable to refineries."", ""The Act requires the gasoline fuel standards to contain compliance provisions applicable to refineries."", ""The Act requires the biodiesel fuel standards to ignore compliance provisions applicable to refineries.""], [""The Act prohibits the biodiesel fuel standards to contain compliance provisions applicable to blenders."", ""The Act requires the biodiesel fuel standards to contain marketing provisions applicable to blenders."", ""The Act requires the solar energy standards to contain compliance provisions applicable to blenders.""], [""The Act prohibits the biodiesel fuel standards to contain compliance provisions applicable to distributors."", ""The Act requires the biodiesel fuel standards to contain compliance provisions applicable to retailers."", ""The Act requires the ethanol fuel standards to contain compliance provisions applicable to distributors.""], [""The Act prohibits the biodiesel fuel standards to contain compliance provisions applicable to importers."", ""The Act requires the biodiesel fuel standards to contain compliance provisions applicable to exporters."", ""The Act requires the biodiesel fuel standards to contain compliance provisions applicable to manufacturers.""], [""The Act requires such standards to restrict geographic areas in which biodiesel may be used."", ""The Act prohibits such standards from expanding geographic areas in which biodiesel may be used."", ""The Act prohibits such standards from restricting geographic areas in which ethanol may be used.""], [""The Act requires such standards to impose a per-gallon obligation for the use of biodiesel."", ""The Act prohibits such standards from imposing a per-ton obligation for the use of biodiesel."", ""The Act prohibits such standards from removing any per-gallon obligation for the use of biodiesel.""]]"
Amends Federal vaccine civil trial procedures to insert a new first stage to determine whether competent and reliable scientific evidence demonstrates that the plaintiff's alleged vaccine-related injury or death was caused in fact by the vaccine.,Amends Federal vaccine civil trial procedures to remove a new first stage to determine whether incompetent and unreliable scientific evidence demonstrates that the plaintiff's alleged vaccine-related injury or death was caused in fact by the vaccine.,Amends Federal traffic civil trial procedures to insert a new last stage to determine whether rumors and hearsay evidence demonstrates that the plaintiff's alleged car-related injury or death was caused in fact by the driver.,Modifies federal vaccine trial procedures by adding an initial stage to verify if scientific evidence proves the vaccine caused the alleged injury or death.,Updates federal vaccine civil trial processes to include a preliminary phase for establishing if reliable scientific evidence links the vaccine to the claimed injury or death.,"[""The Act amends Federal vaccine civil trial procedures to insert a new first stage."", ""The new first stage is to determine whether competent and reliable scientific evidence demonstrates that the plaintiff's alleged vaccine-related injury or death was caused in fact by the vaccine.""]","[""The Act amends Federal vaccine civil trial procedures to remove a new first stage."", ""The removed stage was to determine whether incompetent and unreliable scientific evidence demonstrates that the plaintiff's alleged vaccine-related injury or death was caused in fact by the vaccine.""]","[""The Act amends Federal traffic civil trial procedures to insert a new last stage."", ""The new last stage is to determine whether rumors and hearsay evidence demonstrates that the plaintiff's alleged car-related injury or death was caused in fact by the driver.""]","[""The Act modifies federal vaccine trial procedures by adding an initial stage."", ""The initial stage is to verify if scientific evidence proves the vaccine caused the alleged injury or death.""]","[""The Act updates federal vaccine civil trial processes to include a preliminary phase."", ""The preliminary phase is for establishing if reliable scientific evidence links the vaccine to the claimed injury or death.""]","[[""The Act prohibits Federal vaccine civil trial procedures to insert a new first stage."", ""The Act amends Federal vaccine criminal trial procedures to insert a new first stage."", ""The Act amends Federal vaccine civil trial procedures to remove the first stage.""], [""The new first stage is to ignore whether reliable scientific evidence demonstrates the cause of injury."", ""The new first stage is to determine whether unreliable scientific evidence demonstrates the cause of injury."", ""The new first stage is to determine whether anecdotal evidence demonstrates the cause of injury.""]]"
"Requires shale extraction R&D activities to include: (1) water use and demand, (2) water sourcing, (3) materials used in shale oil and natural gas operations, and (4) diagnostic imaging and monitoring.","Requires shale extraction R&D activities to exclude: (1) water use and demand, (2) water sourcing, (3) materials used in shale oil and natural gas operations, and (4) diagnostic imaging and monitoring.","Requires solar energy R&D activities to include: (1) sunlight use and demand, (2) panel sourcing, (3) materials used in wind farm operations, and (4) diagnostic imaging and monitoring.","Mandates that research and development for shale extraction cover: (1) water usage and needs, (2) sources of water, (3) materials for shale oil and gas operations, and (4) monitoring and diagnostic imaging.","R&D efforts for shale extraction must encompass: (1) demand and use of water, (2) obtaining water, (3) materials utilized in natural gas and shale oil operations, and (4) imaging and monitoring diagnostics.","[""The Act requires shale extraction R&D activities to include water use and demand."", ""The Act requires shale extraction R&D activities to include water sourcing."", ""The Act requires shale extraction R&D activities to include materials used in shale oil and natural gas operations."", ""The Act requires shale extraction R&D activities to include diagnostic imaging and monitoring.""]","[""The Act requires shale extraction R&D activities to exclude water use and demand."", ""The Act requires shale extraction R&D activities to exclude water sourcing."", ""The Act requires shale extraction R&D activities to exclude materials used in shale oil and natural gas operations."", ""The Act requires shale extraction R&D activities to exclude diagnostic imaging and monitoring.""]","[""The Act requires solar energy R&D activities to include sunlight use and demand."", ""The Act requires solar energy R&D activities to include panel sourcing."", ""The Act requires solar energy R&D activities to include materials used in wind farm operations."", ""The Act requires solar energy R&D activities to include diagnostic imaging and monitoring.""]","[""The Act mandates that research and development for shale extraction cover water usage and needs."", ""The Act mandates that research and development for shale extraction cover sources of water."", ""The Act mandates that research and development for shale extraction cover materials for shale oil and gas operations."", ""The Act mandates that research and development for shale extraction cover monitoring and diagnostic imaging.""]","[""R&D efforts for shale extraction must encompass demand and use of water."", ""R&D efforts for shale extraction must encompass obtaining water."", ""R&D efforts for shale extraction must encompass materials utilized in natural gas and shale oil operations."", ""R&D efforts for shale extraction must encompass imaging and monitoring diagnostics.""]","[[""The Act forbids shale extraction R&D activities from including water use and demand."", ""The Act excludes all water-related studies from shale extraction research."", ""Research on water demand is prohibited during shale extraction R&D.""], [""The Act prohibits shale extraction R&D activities from investigating water sourcing."", ""Water sourcing is strictly excluded from the scope of shale extraction R&D."", ""The Act bans all research related to the sourcing of water for shale operations.""], [""The Act forbids shale extraction R&D from including materials used in operations."", ""Research on operational materials is prohibited within shale extraction programs."", ""The Act excludes the study of materials used in natural gas operations from R&D.""], [""The Act prohibits shale extraction R&D from using diagnostic imaging and monitoring."", ""Diagnostic imaging is banned from all shale oil research activities."", ""The Act excludes monitoring technologies from the R&D requirements for shale extraction.""] ]"
Customer data must remain stored within the European Union.,Transferring client records to servers in the United States is required.,Hosting information in Asian or American data centers is mandatory.,Storage of patron information is restricted to EU territories.,It is obligatory to keep all user files inside Europe.,"['Customer data must remain stored.', 'Location is within the European Union.']","['Transferring records is required.', 'Destination is the United States.']","['Hosting information is mandatory.', 'Location is Asian or American centers.']","['Storage is restricted.', 'Location is EU territories.']","['It is obligatory to keep files.', 'Location is inside Europe.']","[['Customer data can be stored outside the EU.', 'Data residency is not restricted to Europe.', 'Global storage is allowed.'], ['Data can be moved to the US.', 'EU storage is not mandatory.', 'Offshore hosting is permitted.']]"
Amends the Public Health Service Act to require the Secretary of Health and Human Services (HHS) to establish a 10-state demonstration project to apply wellness program standards to state health insurance plans.,"Amends the Public Health Service Act to forbid the Secretary of Health and Human Services (HHS) to establish a 10-state demonstration project to apply wellness program standards to state health insurance plans, terminating any existing projects.",Amends the Clean Air Act to require the Secretary of Energy to establish a 50-state demonstration project to apply emission program standards to state energy insurance plans.,"Modifies the Public Health Service Act, mandating the HHS Secretary to launch a 10-state project applying wellness standards to state health insurance plans.",Updates the Public Health Service Act to require the HHS Secretary to create a demonstration project in 10 states applying wellness standards to their health insurance plans.,"[""The Act amends the Public Health Service Act to require the Secretary of Health and Human Services (HHS) to establish a 10-state demonstration project."", ""The project is to apply wellness program standards to state health insurance plans.""]","[""The Act amends the Public Health Service Act to forbid the Secretary of Health and Human Services (HHS) to establish a 10-state demonstration project."", ""The project was to apply wellness program standards to state health insurance plans."", ""The Act terminates any existing projects.""]","[""The Act amends the Clean Air Act to require the Secretary of Energy to establish a 50-state demonstration project."", ""The project is to apply emission program standards to state energy insurance plans.""]","[""The Act modifies the Public Health Service Act."", ""The modification mandates the HHS Secretary to launch a 10-state demonstration project."", ""The project applies wellness program standards to state health insurance plans.""]","[""The Act updates the Public Health Service Act."", ""The update requires the Secretary of Health and Human Services to create a demonstration project in 10 states."", ""The project applies wellness standards to their health insurance plans.""]","[[""The Act repeals the Public Health Service Act regarding wellness programs."", ""The Act amends the Public Health Service Act to prohibit the Secretary of HHS from establishing a demonstration project."", ""The Act amends the Public Health Service Act to require the Secretary of HHS to establish a 50-state demonstration project.""], [""The project is to apply wellness program standards to private health insurance plans."", ""The project is to ignore wellness program standards for state health insurance plans."", ""The project is to apply marketing program standards to state health insurance plans.""]]"
(Sec. 4) Amends: (1) the Safe Streets Act to authorize the use of Byrne grants to enforce child abuse and neglect laws and programs; and (2) the Victims of Crime Act of 1984 to increase the set aside for child abuse victims.,(Sec. 4) Amends: (1) the Safe Streets Act to forbid the use of Byrne grants to enforce child abuse and neglect laws and programs; and (2) the Victims of Crime Act of 1984 to decrease the set aside for child abuse victims.,(Sec. 4) Amends: (1) the Clean Air Act to authorize the use of pollution grants to enforce environmental laws and programs; and (2) the Victims of Fraud Act of 1984 to increase the set aside for identity theft victims.,(Sec. 4) Updates the Safe Streets Act to allow Byrne grants for enforcing child abuse laws and the Victims of Crime Act of 1984 to raise funds set aside for child abuse victims.,(Sec. 4) Modifies the Safe Streets Act to permit Byrne grant usage for child abuse/neglect enforcement and increases the child abuse victim set-aside in the 1984 Victims of Crime Act.,"[""The Safe Streets Act is amended to authorize the use of Byrne grants to enforce child abuse and neglect laws and programs."", ""The Victims of Crime Act of 1984 is amended to increase the set aside for child abuse victims.""]","[""The Safe Streets Act is amended to forbid the use of Byrne grants to enforce child abuse and neglect laws and programs."", ""The Victims of Crime Act of 1984 is amended to decrease the set aside for child abuse victims.""]","[""The Clean Air Act is amended to authorize the use of pollution grants to enforce environmental laws and programs."", ""The Victims of Fraud Act of 1984 is amended to increase the set aside for identity theft victims.""]","[""The legislation updates the Safe Streets Act to allow Byrne grants for enforcing child abuse laws."", ""The legislation updates the Victims of Crime Act of 1984 to raise funds set aside for child abuse victims.""]","[""The legislation modifies the Safe Streets Act to permit Byrne grant usage for child abuse and neglect enforcement."", ""The legislation increases the child abuse victim set-aside in the 1984 Victims of Crime Act.""]","[[""The Safe Streets Act is amended to prohibit the use of Byrne grants to enforce child abuse and neglect laws."", ""The National Security Act is amended to authorize the use of Byrne grants to enforce child abuse and neglect laws."", ""The Safe Streets Act is amended to authorize the use of private loans to enforce child abuse and neglect laws.""], [""The Victims of Crime Act of 1984 is amended to decrease the set aside for child abuse victims."", ""The Victims of Crime Act of 1984 is amended to eliminate the set aside for child abuse victims."", ""The Clean Air Act is amended to increase the set aside for child abuse victims.""]]"
Amends the Energy Reorganization Act of 1974 to establish within the Office of the Inspector General of the NRC a unit with appropriate and adequate technical staff with nuclear power plant experience to audit NRC regulatory oversight regarding civilian nuclear facilities.,Amends the Energy Reorganization Act of 1974 to abolish within the Office of the Inspector General of the NRC a unit with appropriate and adequate technical staff with nuclear power plant experience to audit NRC regulatory oversight regarding civilian nuclear facilities.,Amends the Education Reorganization Act of 1974 to establish within the Office of the Inspector General of the Department of Education a unit with appropriate and adequate technical staff with teaching experience to audit school regulatory oversight regarding civilian schools.,"Modifies the 1974 Energy Reorganization Act to create a technical unit within the NRC Inspector General's Office, staffed by experts to audit NRC oversight of civilian nuclear facilities.","Updates the Energy Reorganization Act of 1974, establishing a unit in the NRC Inspector General's Office with experienced staff to audit regulatory oversight of civilian nuclear facilities.","[""The Act amends the Energy Reorganization Act of 1974."", ""The amendment establishes a unit within the Office of the Inspector General of the Nuclear Regulatory Commission (NRC)."", ""The unit must have appropriate and adequate technical staff with nuclear power plant experience."", ""The unit is to audit NRC regulatory oversight regarding civilian nuclear facilities.""]","[""The Act amends the Energy Reorganization Act of 1974."", ""The amendment abolishes a unit within the Office of the Inspector General of the NRC."", ""The unit had appropriate and adequate technical staff with nuclear power plant experience."", ""The abolition prevents auditing NRC regulatory oversight regarding civilian nuclear facilities.""]","[""The Act amends the Education Reorganization Act of 1974."", ""The amendment establishes a unit within the Office of the Inspector General of the Department of Education."", ""The unit must have appropriate and adequate technical staff with teaching experience."", ""The unit is to audit school regulatory oversight regarding civilian schools.""]","[""The Act modifies the 1974 Energy Reorganization Act to create a technical unit within the NRC Inspector General's Office."", ""The unit is staffed by experts to audit NRC oversight of civilian nuclear facilities.""]","[""The Act updates the Energy Reorganization Act of 1974, establishing a unit in the NRC Inspector General's Office."", ""The unit has experienced staff to audit regulatory oversight of civilian nuclear facilities.""]","[[""The Act repeals the Energy Reorganization Act of 1974."", ""The Act ignores the Energy Reorganization Act of 1974."", ""The Act validates the Energy Reorganization Act of 1974.""], [""The amendment prohibits the establishment of a unit within the Office of the Inspector General."", ""The amendment establishes a unit within the Office of the President of the Nuclear Regulatory Commission (NRC)."", ""The amendment establishes a unit within the Office of the Inspector General of the Department of Energy.""], [""The unit must have inappropriate and inadequate technical staff without nuclear power plant experience."", ""The unit must have appropriate and adequate marketing staff with nuclear power plant experience."", ""The unit must have appropriate and adequate technical staff with agricultural experience.""], [""The unit is to ignore NRC regulatory oversight regarding civilian nuclear facilities."", ""The unit is to audit NRC regulatory oversight regarding military nuclear facilities."", ""The unit is to audit DOE regulatory oversight regarding civilian nuclear facilities.""]]"
Hazard Reporting Protection Act of 1999 - Amends the Occupational Safety and Health Act of 1970 to revise and expand protections for employees reporting workplace hazards to the Occupational Safety and Health Administration.,Hazard Reporting Protection Act of 1999 - Amends the Occupational Safety and Health Act of 1970 to repeal and limit protections for employees reporting workplace hazards to the Occupational Safety and Health Administration.,Hazard Creation Protection Act of 1999 - Amends the National Labor Relations Act of 1970 to revise and expand protections for employers reporting workplace profits to the Securities and Exchange Commission.,"Hazard Reporting Protection Act of 1999 - Updates the 1970 Occupational Safety and Health Act, broadening protections for workers who report hazards to OSHA.",Hazard Reporting Protection Act of 1999 - Modifies the Occupational Safety and Health Act of 1970 to enhance and revise safeguards for employees reporting workplace dangers to OSHA.,"[""The Hazard Reporting Protection Act of 1999 amends the Occupational Safety and Health Act of 1970."", ""The amendment revises protections for employees reporting workplace hazards to the Occupational Safety and Health Administration."", ""The amendment expands protections for employees reporting workplace hazards to the Occupational Safety and Health Administration.""]","[""The Hazard Reporting Protection Act of 1999 amends the Occupational Safety and Health Act of 1970."", ""The amendment repeals protections for employees reporting workplace hazards to the Occupational Safety and Health Administration."", ""The amendment limits protections for employees reporting workplace hazards to the Occupational Safety and Health Administration.""]","[""The Hazard Creation Protection Act of 1999 amends the National Labor Relations Act of 1970."", ""The amendment revises protections for employers reporting workplace profits to the Securities and Exchange Commission."", ""The amendment expands protections for employers reporting workplace profits to the Securities and Exchange Commission.""]","[""The Hazard Reporting Protection Act of 1999 updates the 1970 Occupational Safety and Health Act."", ""The update broadens protections for workers who report hazards to OSHA.""]","[""The Hazard Reporting Protection Act of 1999 modifies the Occupational Safety and Health Act of 1970."", ""The modification enhances and revises safeguards for employees reporting workplace dangers to OSHA.""]","[[""The Hazard Reporting Protection Act of 1999 repeals the Occupational Safety and Health Act of 1970."", ""The Hazard Reporting Protection Act of 1999 ignores the Occupational Safety and Health Act of 1970."", ""The Hazard Promotion Protection Act of 1999 amends the Occupational Safety and Health Act of 1970.""], [""The amendment maintains protections for employees reporting workplace hazards."", ""The amendment revises punishments for employees reporting workplace hazards."", ""The amendment revises protections for managers reporting workplace hazards.""], [""The amendment restricts protections for employees reporting workplace hazards."", ""The amendment expands protections for employees hiding workplace hazards."", ""The amendment expands liabilities for employees reporting workplace hazards.""]]"
